api-1  | {"level":30,"time":1770279635966,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1c","res":{"statusCode":200},"responseTime":0.2871059998869896,"msg":"request completed"}
api-1  | {"level":50,"time":1770279867340,"pid":1,"hostname":"59fe47891a9b","reqId":"req-i","err":{"type":"PrismaClientValidationError","message":"\nInvalid `prisma.vendor.create()` invocation:\n\n{\n  data: {\n    legal_name: \"Bobby Burger\",\n    trading_name: \"Bobs Burgers\",\n    vendor_slug: \"bobs-burgers\",\n    billing_email: \"bob@billing.com\",\n    monthly_billing_amount: \"400\",\n    billing_start_date: \"2026-03-01\",\n                        ~~~~~~~~~~~~\n    contact_name: \"John\",\n    contact_surname: \"Doedy\",\n    contact_phone: \"0824402488\",\n    status: \"ACTIVE\",\n    billing_plan_id: \"FREE\",\n    billing_status: \"TRIAL\",\n    branding: {\n      create: {\n        primary_color: \"#000000\",\n        secondary_color: \"#ffffff\"\n      }\n    },\n    programs: {\n      create: {\n        version: 1,\n        is_active: true,\n        stamps_required: 10,\n        reward_title: \"Free Reward\",\n        reward_description: \"Collect 10 stamps to earn a reward.\",\n        terms_text: \"Standard terms and conditions apply.\"\n      }\n    },\n    branches: {\n      create: {\n        name: \"Main Branch\",\n        city: \"Johannesburg\",\n        region: \"Eastgate\"\n      }\n    }\n  }\n}\n\nInvalid value for argument `billing_start_date`: premature end of input. Expected ISO-8601 DateTime.","stack":"PrismaClientValidationError: \nInvalid `prisma.vendor.create()` invocation:\n\n{\n  data: {\n    legal_name: \"Bobby Burger\",\n    trading_name: \"Bobs Burgers\",\n    vendor_slug: \"bobs-burgers\",\n    billing_email: \"bob@billing.com\",\n    monthly_billing_amount: \"400\",\n    billing_start_date: \"2026-03-01\",\n                        ~~~~~~~~~~~~\n    contact_name: \"John\",\n    contact_surname: \"Doedy\",\n    contact_phone: \"0824402488\",\n    status: \"ACTIVE\",\n    billing_plan_id: \"FREE\",\n    billing_status: \"TRIAL\",\n    branding: {\n      create: {\n        primary_color: \"#000000\",\n        secondary_color: \"#ffffff\"\n      }\n    },\n    programs: {\n      create: {\n        version: 1,\n        is_active: true,\n        stamps_required: 10,\n        reward_title: \"Free Reward\",\n        reward_description: \"Collect 10 stamps to earn a reward.\",\n        terms_text: \"Standard terms and conditions apply.\"\n      }\n    },\n    branches: {\n      create: {\n        name: \"Main Branch\",\n        city: \"Johannesburg\",\n        region: \"Eastgate\"\n      }\n    }\n  }\n}\n\nInvalid value for argument `billing_start_date`: premature end of input. Expected ISO-8601 DateTime.\n    at wn (/app/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:1363)\n    at $n.handleRequestError (/app/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:6958)\n    at $n.handleAndLogRequestError (/app/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:6623)\n    at $n.request (/app/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:6307)\n    at async l (/app/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:9633)","name":"PrismaClientValidationError","clientVersion":"5.22.0"},"msg":"\nInvalid `prisma.vendor.create()` invocation:\n\n{\n  data: {\n    legal_name: \"Bobby Burger\",\n    trading_name: \"Bobs Burgers\",\n    vendor_slug: \"bobs-burgers\",\n    billing_email: \"bob@billing.com\",\n    monthly_billing_amount: \"400\",\n    billing_start_date: \"2026-03-01\",\n                        ~~~~~~~~~~~~\n    contact_name: \"John\",\n    contact_surname: \"Doedy\",\n    contact_phone: \"0824402488\",\n    status: \"ACTIVE\",\n    billing_plan_id: \"FREE\",\n    billing_status: \"TRIAL\",\n    branding: {\n      create: {\n        primary_color: \"#000000\",\n        secondary_color: \"#ffffff\"\n      }\n    },\n    programs: {\n      create: {\n        version: 1,\n        is_active: true,\n        stamps_required: 10,\n        reward_title: \"Free Reward\",\n        reward_description: \"Collect 10 stamps to earn a reward.\",\n        terms_text: \"Standard terms and conditions apply.\"\n      }\n    },\n    branches: {\n      create: {\n        name: \"Main Branch\",\n        city: \"Johannesburg\",\n        region: \"Eastgate\"\n      }\n    }\n  }\n}\n\nInvalid value for argument `billing_start_date`: premature end of input. Expected ISO-8601 DateTime."}
api-1  | {"level":30,"time":1770279867342,"pid":1,"hostname":"59fe47891a9b","reqId":"req-i","res":{"statusCode":500},"responseTime":14.594356000423431,"msg":"request completed"}
api-1  | {"level":30,"time":1770279875442,"pid":1,"hostname":"59fe47891a9b","reqId":"req-j","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37684},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279875443,"pid":1,"hostname":"59fe47891a9b","reqId":"req-j","res":{"statusCode":200},"responseTime":0.4841409996151924,"msg":"request completed"}
api-1  | {"level":30,"time":1770279885505,"pid":1,"hostname":"59fe47891a9b","reqId":"req-k","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":41984},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279885505,"pid":1,"hostname":"59fe47891a9b","reqId":"req-k","res":{"statusCode":200},"responseTime":0.414920000359416,"msg":"request completed"}
api-1  | {"level":30,"time":1770279895562,"pid":1,"hostname":"59fe47891a9b","reqId":"req-l","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37992},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279895563,"pid":1,"hostname":"59fe47891a9b","reqId":"req-l","res":{"statusCode":200},"responseTime":0.3999600000679493,"msg":"request completed"}
api-1  | {"level":30,"time":1770279905622,"pid":1,"hostname":"59fe47891a9b","reqId":"req-m","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":56938},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279905622,"pid":1,"hostname":"59fe47891a9b","reqId":"req-m","res":{"statusCode":200},"responseTime":0.3123030001297593,"msg":"request completed"}
api-1  | {"level":30,"time":1770279915690,"pid":1,"hostname":"59fe47891a9b","reqId":"req-n","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55766},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279915691,"pid":1,"hostname":"59fe47891a9b","reqId":"req-n","res":{"statusCode":200},"responseTime":0.33833299949765205,"msg":"request completed"}
api-1  | {"level":30,"time":1770279925756,"pid":1,"hostname":"59fe47891a9b","reqId":"req-o","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":58676},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279925757,"pid":1,"hostname":"59fe47891a9b","reqId":"req-o","res":{"statusCode":200},"responseTime":0.3538220003247261,"msg":"request completed"}
api-1  | {"level":30,"time":1770279935804,"pid":1,"hostname":"59fe47891a9b","reqId":"req-p","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":38016},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279935804,"pid":1,"hostname":"59fe47891a9b","reqId":"req-p","res":{"statusCode":200},"responseTime":0.36290100030601025,"msg":"request completed"}
api-1  | {"level":30,"time":1770279945881,"pid":1,"hostname":"59fe47891a9b","reqId":"req-q","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53782},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279945882,"pid":1,"hostname":"59fe47891a9b","reqId":"req-q","res":{"statusCode":200},"responseTime":0.3772190008312464,"msg":"request completed"}
api-1  | {"level":30,"time":1770279955955,"pid":1,"hostname":"59fe47891a9b","reqId":"req-r","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":42312},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279955956,"pid":1,"hostname":"59fe47891a9b","reqId":"req-r","res":{"statusCode":200},"responseTime":0.4831590000540018,"msg":"request completed"}
api-1  | {"level":30,"time":1770279966000,"pid":1,"hostname":"59fe47891a9b","reqId":"req-s","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":41426},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279966000,"pid":1,"hostname":"59fe47891a9b","reqId":"req-s","res":{"statusCode":200},"responseTime":0.4446849999949336,"msg":"request completed"}
api-1  | {"level":30,"time":1770279976079,"pid":1,"hostname":"59fe47891a9b","reqId":"req-t","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53578},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279976079,"pid":1,"hostname":"59fe47891a9b","reqId":"req-t","res":{"statusCode":200},"responseTime":0.37933200038969517,"msg":"request completed"}
api-1  | {"level":30,"time":1770279986162,"pid":1,"hostname":"59fe47891a9b","reqId":"req-u","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33046},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279986163,"pid":1,"hostname":"59fe47891a9b","reqId":"req-u","res":{"statusCode":200},"responseTime":0.2805039994418621,"msg":"request completed"}
api-1  | {"level":30,"time":1770279996236,"pid":1,"hostname":"59fe47891a9b","reqId":"req-v","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40872},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279996236,"pid":1,"hostname":"59fe47891a9b","reqId":"req-v","res":{"statusCode":200},"responseTime":0.32836700044572353,"msg":"request completed"}
api-1  | {"level":30,"time":1770280006302,"pid":1,"hostname":"59fe47891a9b","reqId":"req-w","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":54768},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280006302,"pid":1,"hostname":"59fe47891a9b","reqId":"req-w","res":{"statusCode":200},"responseTime":0.25850400049239397,"msg":"request completed"}
api-1  | {"level":30,"time":1770280016354,"pid":1,"hostname":"59fe47891a9b","reqId":"req-x","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37420},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280016354,"pid":1,"hostname":"59fe47891a9b","reqId":"req-x","res":{"statusCode":200},"responseTime":0.28709600027650595,"msg":"request completed"}
api-1  | {"level":30,"time":1770280026422,"pid":1,"hostname":"59fe47891a9b","reqId":"req-y","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47908},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280026423,"pid":1,"hostname":"59fe47891a9b","reqId":"req-y","res":{"statusCode":200},"responseTime":0.45857399981468916,"msg":"request completed"}
api-1  | {"level":30,"time":1770280036486,"pid":1,"hostname":"59fe47891a9b","reqId":"req-z","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47370},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280036487,"pid":1,"hostname":"59fe47891a9b","reqId":"req-z","res":{"statusCode":200},"responseTime":0.3408279996365309,"msg":"request completed"}
api-1  | {"level":30,"time":1770280046541,"pid":1,"hostname":"59fe47891a9b","reqId":"req-10","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":34708},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280046541,"pid":1,"hostname":"59fe47891a9b","reqId":"req-10","res":{"statusCode":200},"responseTime":0.27000000048428774,"msg":"request completed"}
api-1  | {"level":30,"time":1770280056596,"pid":1,"hostname":"59fe47891a9b","reqId":"req-11","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47790},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280056596,"pid":1,"hostname":"59fe47891a9b","reqId":"req-11","res":{"statusCode":200},"responseTime":0.2541279997676611,"msg":"request completed"}
api-1  | {"level":30,"time":1770280066649,"pid":1,"hostname":"59fe47891a9b","reqId":"req-12","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":56624},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280066650,"pid":1,"hostname":"59fe47891a9b","reqId":"req-12","res":{"statusCode":200},"responseTime":0.3302879994735122,"msg":"request completed"}
api-1  | {"level":30,"time":1770280076711,"pid":1,"hostname":"59fe47891a9b","reqId":"req-13","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":60386},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280076711,"pid":1,"hostname":"59fe47891a9b","reqId":"req-13","res":{"statusCode":200},"responseTime":0.45827099960297346,"msg":"request completed"}
api-1  | {"level":30,"time":1770280086762,"pid":1,"hostname":"59fe47891a9b","reqId":"req-14","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":57790},"msg":"incoming request"}
api-1  | {"level":30,"time":1770280086762,"pid":1,"hostname":"59fe47891a9b","reqId":"req-14","res":{"statusCode":200},"responseTime":0.2592929992824793,"msg":"request completed"}
api-1  | {"level":30,"time":1770280096815,"pid":1,"hostname":"59fe47891a9b","reqId":"req-15","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":54100},"msg":"incoming request"}
