api-1  | {"level":30,"time":1770281842725,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4p","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47998},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282104335,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5f","res":{"statusCode":200},"responseTime":0.2932890001684427,"msg":"request completed"}
api-1  | {"level":30,"time":1770282114404,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5g","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":42566},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282114404,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5g","res":{"statusCode":200},"responseTime":0.3783109998330474,"msg":"request completed"}
api-1  | {"level":30,"time":1770282124460,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5h","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47282},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282124460,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5h","res":{"statusCode":200},"responseTime":0.22032100055366755,"msg":"request completed"}
api-1  | {"level":30,"time":1770282134528,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5i","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":43440},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282134528,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5i","res":{"statusCode":200},"responseTime":0.21421900019049644,"msg":"request completed"}
api-1  | {"level":30,"time":1770282144586,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5j","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":45398},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282144586,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5j","res":{"statusCode":200},"responseTime":0.21163300052285194,"msg":"request completed"}
api-1  | {"level":30,"time":1770282154638,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5k","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":35006},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282154639,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5k","res":{"statusCode":200},"responseTime":0.3199599999934435,"msg":"request completed"}
api-1  | {"level":30,"time":1770282164708,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5l","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":48886},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282164709,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5l","res":{"statusCode":200},"responseTime":0.2907940000295639,"msg":"request completed"}
api-1  | {"level":30,"time":1770282174786,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5m","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55304},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282174786,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5m","res":{"statusCode":200},"responseTime":0.27857800014317036,"msg":"request completed"}
api-1  | {"level":30,"time":1770282184838,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5n","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":43800},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282184838,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5n","res":{"statusCode":200},"responseTime":0.296314999461174,"msg":"request completed"}
api-1  | {"level":30,"time":1770282194899,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5o","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37436},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282194899,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5o","res":{"statusCode":200},"responseTime":0.3134180009365082,"msg":"request completed"}
api-1  | {"level":30,"time":1770282204944,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5p","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":58546},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282204944,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5p","res":{"statusCode":200},"responseTime":0.26189900003373623,"msg":"request completed"}
api-1  | {"level":30,"time":1770282215005,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5q","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":38664},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282215005,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5q","res":{"statusCode":200},"responseTime":0.27131699956953526,"msg":"request completed"}
api-1  | {"level":30,"time":1770282225073,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5r","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":35738},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282225074,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5r","res":{"statusCode":200},"responseTime":0.24183099903166294,"msg":"request completed"}
api-1  | {"level":30,"time":1770282235127,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5s","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51446},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282235128,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5s","res":{"statusCode":200},"responseTime":0.23468700051307678,"msg":"request completed"}
api-1  | {"level":30,"time":1770282245200,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5t","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":35464},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282245200,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5t","res":{"statusCode":200},"responseTime":0.34914599917829037,"msg":"request completed"}
api-1  | {"level":30,"time":1770282255255,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5u","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":52178},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282255255,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5u","res":{"statusCode":200},"responseTime":0.23975799977779388,"msg":"request completed"}
api-1  | {"level":30,"time":1770282265314,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5v","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":39266},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282265315,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5v","res":{"statusCode":200},"responseTime":0.24271300062537193,"msg":"request completed"}
api-1  | {"level":30,"time":1770282275362,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5w","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33858},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282275362,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5w","res":{"statusCode":200},"responseTime":0.3222940005362034,"msg":"request completed"}
api-1  | {"level":30,"time":1770282285434,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5x","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37052},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282285435,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5x","res":{"statusCode":200},"responseTime":0.30064299888908863,"msg":"request completed"}
api-1  | {"level":30,"time":1770282295493,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5y","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55826},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282295494,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5y","res":{"statusCode":200},"responseTime":0.350917998701334,"msg":"request completed"}
api-1  | {"level":30,"time":1770282305548,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5z","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":60234},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282305549,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5z","res":{"statusCode":200},"responseTime":0.27047500014305115,"msg":"request completed"}
api-1  | {"level":30,"time":1770282315609,"pid":1,"hostname":"59fe47891a9b","reqId":"req-60","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53178},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282315609,"pid":1,"hostname":"59fe47891a9b","reqId":"req-60","res":{"statusCode":200},"responseTime":0.23146099969744682,"msg":"request completed"}
api-1  | {"level":30,"time":1770282325663,"pid":1,"hostname":"59fe47891a9b","reqId":"req-61","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51008},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282325664,"pid":1,"hostname":"59fe47891a9b","reqId":"req-61","res":{"statusCode":200},"responseTime":0.31426900066435337,"msg":"request completed"}
api-1  | {"level":30,"time":1770282335707,"pid":1,"hostname":"59fe47891a9b","reqId":"req-62","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51344},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282335707,"pid":1,"hostname":"59fe47891a9b","reqId":"req-62","res":{"statusCode":200},"responseTime":0.2395669985562563,"msg":"request completed"}
api-1  | {"level":30,"time":1770282345771,"pid":1,"hostname":"59fe47891a9b","reqId":"req-63","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47128},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282345772,"pid":1,"hostname":"59fe47891a9b","reqId":"req-63","res":{"statusCode":200},"responseTime":0.3138379994779825,"msg":"request completed"}
api-1  | {"level":30,"time":1770282355830,"pid":1,"hostname":"59fe47891a9b","reqId":"req-64","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":44682},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282355831,"pid":1,"hostname":"59fe47891a9b","reqId":"req-64","res":{"statusCode":200},"responseTime":0.23681200109422207,"msg":"request completed"}
api-1  | {"level":30,"time":1770282365902,"pid":1,"hostname":"59fe47891a9b","reqId":"req-65","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53624},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282365903,"pid":1,"hostname":"59fe47891a9b","reqId":"req-65","res":{"statusCode":200},"responseTime":0.26447500102221966,"msg":"request completed"}
api-1  | {"level":30,"time":1770282375958,"pid":1,"hostname":"59fe47891a9b","reqId":"req-66","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55406},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282375958,"pid":1,"hostname":"59fe47891a9b","reqId":"req-66","res":{"statusCode":200},"responseTime":0.2516000010073185,"msg":"request completed"}
api-1  | {"level":30,"time":1770282386034,"pid":1,"hostname":"59fe47891a9b","reqId":"req-67","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":59878},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282386034,"pid":1,"hostname":"59fe47891a9b","reqId":"req-67","res":{"statusCode":200},"responseTime":0.355748999863863,"msg":"request completed"}
api-1  | {"level":30,"time":1770282396096,"pid":1,"hostname":"59fe47891a9b","reqId":"req-68","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":57422},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282396096,"pid":1,"hostname":"59fe47891a9b","reqId":"req-68","res":{"statusCode":200},"responseTime":0.2824379988014698,"msg":"request completed"}
api-1  | {"level":30,"time":1770282406153,"pid":1,"hostname":"59fe47891a9b","reqId":"req-69","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":39780},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282406154,"pid":1,"hostname":"59fe47891a9b","reqId":"req-69","res":{"statusCode":200},"responseTime":0.23593899980187416,"msg":"request completed"}
api-1  | {"level":30,"time":1770282416207,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6a","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":48416},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282416208,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6a","res":{"statusCode":200},"responseTime":0.2384639997035265,"msg":"request completed"}
api-1  | {"level":30,"time":1770282426251,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6b","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47716},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282426251,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6b","res":{"statusCode":200},"responseTime":0.302606999874115,"msg":"request completed"}
api-1  | {"level":30,"time":1770282436299,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6c","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":60612},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282436300,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6c","res":{"statusCode":200},"responseTime":0.30022200010716915,"msg":"request completed"}
api-1  | {"level":30,"time":1770282446351,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6d","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":57598},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282446351,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6d","res":{"statusCode":200},"responseTime":0.2423279993236065,"msg":"request completed"}
api-1  | {"level":30,"time":1770282456406,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6e","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":39596},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282456407,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6e","res":{"statusCode":200},"responseTime":0.23215300031006336,"msg":"request completed"}
api-1  | {"level":30,"time":1770282466470,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6f","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":49252},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282466470,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6f","res":{"statusCode":200},"responseTime":0.30917900055646896,"msg":"request completed"}
api-1  | {"level":30,"time":1770282476523,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6g","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40728},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282476523,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6g","res":{"statusCode":200},"responseTime":0.3256299998611212,"msg":"request completed"}
api-1  | {"level":30,"time":1770282486587,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6h","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":37412},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282486588,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6h","res":{"statusCode":200},"responseTime":0.2514089997857809,"msg":"request completed"}
api-1  | {"level":30,"time":1770282496675,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6i","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":41368},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282496675,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6i","res":{"statusCode":200},"responseTime":0.22444400005042553,"msg":"request completed"}
api-1  | {"level":30,"time":1770282506725,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6j","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":49812},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282506726,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6j","res":{"statusCode":200},"responseTime":0.30639700032770634,"msg":"request completed"}
